"","cntry","regionde","intewde","regionfr","cedition","cseqno","essround","idno","dweight","pspwght","pweight","tvpol","rdpol","nwsppol","polintr","psppsgv","psppsgva","psppipl","psppipla","polcmpl","contplt","wrkprty","badge","clsprty","prtdgcl","mmbprty","lrscale","trstprl","trstplt","trstprt","trstep","stflife","stfeco","stfgov","stfdem","prtyban","euftf","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","imwbcrm","noimbro","qfimcmt","imptrad","ipstrgv","impsafe","jbscr","optftr","fltanx","nhpftr","lfwrs","uemplwk","acetalv","eduyrs","blue_c","uemp5yr","gndr","agea","vote","vote_rrp","prtvade1","prtvbde1","prtvcde1","prtvdde1","prtvede1","prtvde2","prtvade2","prtvbde2","prtvcde2","prtvdde2","prtvede2","prtvtfr","prtvtafr","prtvtbfr","prtvtcfr","prtclde","prtclade","prtclbde","prtclcde","prtcldde","prtclede","prtclafr","prtclbfr","prtclcfr","prtcldfr","prtclefr","prtmbde","prtmbade","prtmbbde","prtmbcde","prtmbafr","prtmbbfr","prtmbcfr"
"17467","DE",NA,2,NA,1,84342,7,10000611,1.2278082920193,1.53747229171793,2.304125911,1,NA,NA,2,7,NA,8,NA,NA,0,0,0,1,3,NA,5,5,4,4,6,7,8,4,7,NA,6,3,3,6,5,3,3,25,10,3,4,1,NA,5,NA,NA,NA,NA,2,9,1,NA,1,15,NA,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17468","DE",NA,2,NA,1,84343,7,10000721,1.2278082920193,2.29290375473341,2.304125911,2,NA,NA,3,5,NA,4,NA,NA,0,0,0,0,NA,NA,5,5,5,5,5,5,6,6,7,NA,5,3,3,5,4,3,2,33,4,4,4,4,NA,5,NA,NA,NA,NA,3,8,1,0,1,55,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17469","DE",NA,2,NA,1,84344,7,10000731,1.2278082920193,1.38029966658066,2.304125911,2,NA,NA,2,5,NA,5,NA,NA,0,0,0,0,NA,NA,8,8,6,6,6,8,9,6,9,NA,7,2,2,9,9,9,4,25,5,4,5,4,NA,5,NA,NA,NA,NA,2,12,0,1,1,62,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17470","DE",NA,2,NA,1,84345,7,10000751,1.2278082920193,1.43243162311762,2.304125911,2,NA,NA,2,3,NA,3,NA,NA,1,0,0,1,2,NA,3,4,3,3,2,8,2,4,5,NA,5,2,2,7,8,6,1,2,10,0,4,3,NA,5,NA,NA,NA,NA,1,18,0,NA,0,50,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17471","DE",NA,2,NA,1,84346,7,10000791,1.2278082920193,0.73973714785628,2.304125911,2,NA,NA,2,2,NA,2,NA,NA,0,0,0,1,2,NA,3,4,5,6,4,7,7,7,8,NA,3,1,3,5,8,6,3,25,10,3,4,1,NA,5,NA,NA,NA,NA,2,15,0,NA,1,72,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17472","DE",NA,1,NA,1,84347,7,10000841,0.531346194430172,0.727149463535447,2.304125911,NA,NA,NA,2,6,NA,5,NA,NA,0,0,0,0,NA,NA,4,7,6,5,7,8,7,6,6,NA,5,3,3,4,4,4,3,30,8,0,4,2,NA,5,NA,NA,NA,NA,1,9,1,NA,1,16,NA,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17473","DE",NA,2,NA,1,84348,7,10000861,1.2278082920193,1.62934740479056,2.304125911,0,NA,NA,1,3,NA,4,NA,NA,0,0,0,1,2,NA,4,7,1,4,6,10,7,6,10,NA,7,2,1,10,8,9,4,30,8,2,5,5,NA,5,NA,NA,NA,NA,1,10,0,NA,0,16,NA,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17474","DE",NA,2,NA,1,84349,7,10000971,1.2278082920193,1.34990640405196,2.304125911,2,NA,NA,3,7,NA,4,NA,NA,0,0,0,0,NA,NA,3,8,6,5,7,10,9,8,7,NA,10,1,1,8,10,10,4,10,7,3,3,4,NA,5,NA,NA,NA,NA,2,14,0,NA,0,46,1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17475","DE",NA,2,NA,1,84350,7,10000991,1.2278082920193,1.80205845114752,2.304125911,1,NA,NA,3,4,NA,5,NA,NA,0,0,0,1,2,NA,2,7,5,5,7,8,7,NA,6,NA,10,1,3,6,10,5,5,35,10,2,4,3,NA,5,NA,NA,NA,NA,3,12,0,NA,0,20,NA,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17476","DE",NA,1,NA,1,84351,7,10001041,0.531346194430171,0.356989427292637,2.304125911,3,NA,NA,1,3,NA,3,NA,NA,0,0,0,0,NA,NA,2,8,4,3,2,7,7,4,6,NA,7,1,2,6,5,4,3,20,8,2,4,4,NA,5,NA,NA,NA,NA,2,17,0,NA,0,59,1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
